MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
10438.0,10.0,DT,7.0,7.5,9.0,7.0,10.0,5.0,8.5,6.5,9.5,9.0,7.0,7.0,5.0,,9.0,7.5,7.5
15731.0,10.0,DT,7.0,8.0,7.0,5.5,10.0,5.0,7.0,7.0,10.0,7.5,8.0,6.0,8.0,,8.0,,
16564.0,10.0,DT,6.0,6.0,6.5,6.0,10.0,5.0,13.0,7.5,10.0,5.0,10.0,4.0,6.0,0.0,7.0,5.5,7.5
19461.0,,,6.0,8.5,,,,6.0,7.0,,,,,6.0,3.0,6.5,5.0,7.0,
23086.0,6.5,,6.0,,6.5,6.0,6.0,7.0,2.0,8.0,,,,,,,,,
26172.0,5.5,,7.0,6.0,6.0,6.0,,8.0,6.0,8.0,13.0,8.5,0.0,13.0,7.0,5.5,6.5,,
26306.0,12.0,,8.0,9.0,9.0,9.0,7.0,7.0,9.5,9.0,7.5,9.0,,,,,,,
26565.0,12.0,,5.0,13.0,13.0,13.0,12.0,13.0,13.0,11.9,12.0,13.0,6.5,,,,,,
33974.0,10.0,,7.0,6.0,5.5,5.5,10.0,5.0,5.5,9.5,,9.0,,,7.0,8.0,8.5,,
34462.0,3.0,,,,,,,,,,,,,,,,,,
35300.0,5.5,,8.0,8.0,6.5,6.0,5.0,7.0,,7.0,0.0,2.0,4.0,6.5,5.0,5.5,5.5,,
38704.0,6.0,,5.0,,0.5,2.5,5.5,13.0,,5.5,6.0,,5.0,,6.0,,,,
40059.0,12.0,,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,
41504.0,,,6.0,4.5,,,,6.0,,,,,,,5.0,,,,
61504.0,5.5,DT,5.0,5.5,8.5,5.0,5.0,5.0,6.5,3.5,6.5,,13.0,,2.0,6.0,5.0,5.0,5.5
66797.0,7.0,DT,7.0,7.0,5.0,7.0,6.5,6.0,6.5,7.5,6.0,,0.0,5.0,7.0,,9.0,8.0,6.5
75321.0,,,5.0,5.0,5.0,,6.5,7.0,5.0,6.0,8.0,8.5,,6.5,7.0,6.5,6.0,7.5,
77173.0,10.0,DT,5.0,7.0,6.5,7.0,10.0,7.0,8.0,7.0,10.0,9.0,10.0,,6.0,,8.5,7.5,0.0
77607.0,,,8.0,6.0,6.0,6.5,,5.0,,5.5,,,,,,,,,
81657.0,7.0,,6.0,4.0,6.5,,5.5,7.0,6.0,6.0,6.5,7.0,3.5,5.0,5.0,,7.0,,
82719.0,,,6.0,,,,,,,,,,,,,,,,
82864.0,,,5.0,,,,,,,,,,,,,,,,
85543.0,10.0,DT,5.0,4.5,5.0,6.0,10.0,5.0,13.0,5.5,10.0,6.0,9.5,5.0,6.0,9.0,6.5,6.5,6.0
94690.0,7.0,DT,6.0,6.0,9.0,6.0,6.0,7.0,6.0,7.0,6.0,,3.5,,7.0,7.5,7.5,8.0,8.0
96455.0,,,,,,6.0,,,,5.5,,,,,,,,5.0,
100911.0,,,6.0,,0.0,2.0,,6.0,,13.0,,,,,6.0,,,,
116572.0,10.0,DT,6.0,5.5,5.5,5.0,10.0,8.0,5.0,6.5,10.0,,7.5,5.5,5.0,7.5,7.0,8.0,7.0
118048.0,,,10.0,8.0,6.0,6.0,,5.0,2.0,7.0,,,,,,,,,
119479.0,12.0,,7.0,5.5,6.5,2.0,12.0,5.0,,7.5,9.0,,8.5,,,,9.0,,
131664.0,,,9.0,,,,,6.0,7.0,,,7.5,,13.0,,,6.0,,
137129.0,12.0,,4.0,,1.0,4.0,12.0,8.0,0.0,6.0,12.0,,12.0,,,,6.5,,
142001.0,13.0,,7.0,5.5,9.5,,6.5,6.0,,9.5,4.0,9.0,,6.0,6.0,,,7.5,8.5
142533.0,,,13.0,,,,,,,,,,,,,,,,
143503.0,12.0,,7.0,6.0,6.0,6.5,12.0,5.0,2.0,7.0,12.0,5.5,12.0,,,,,,
148981.0,,,9.0,,,,,7.0,7.0,,,9.0,,13.0,13.0,,,,
158147.0,10.0,,5.0,4.0,0.0,6.0,10.0,3.0,5.5,5.0,9.0,,,,4.0,5.5,7.0,,
161614.0,,,13.0,8.0,8.0,8.0,,6.0,9.0,8.5,,9.5,,,,,,,
176906.0,9.5,DT,5.0,6.0,6.0,5.0,6.0,5.0,,5.0,7.5,6.0,6.5,,5.0,,7.5,6.5,6.0
182309.0,12.0,,7.0,,2.5,6.5,12.0,13.0,6.0,5.5,6.0,,7.5,,,,,,
193539.0,,,,,,,,,,,,,,6.0,,,,,
195989.0,6.0,,7.0,7.0,7.0,5.5,5.0,7.0,7.5,8.0,7.0,6.5,,7.0,5.0,6.0,7.0,,
198681.0,,,5.0,,,,,,,,,,,,,,,,
204324.0,5.5,DT,7.0,,7.0,6.0,5.0,6.0,,6.0,5.0,,3.5,,6.0,,7.0,12.0,7.0
204873.0,,,6.0,5.0,2.5,2.0,,5.0,4.5,6.0,,,,,,,5.5,5.5,
