MASV1,F_MAKH,F_TENLOP,F_KHOI,F_MANG,F_TENNGVN
63017041,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
7886115,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
7393267,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
12148173,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
57889315,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
86764621,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
12750812,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
30633547,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
80992982,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
20399680,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
8677861,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
15696819,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
40198764,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
91016281,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
17895947,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
91118369,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
67271439,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
86702408,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
70585092,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
23322642,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
78168383,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
1732340,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
7947673,CK,CK16LTH,DHCKLTH16,LTH,Kỹ Thuật Chế Tạo(LT)
96533359,DC,DC14B2KK,DHDCKK214,KK2,KT Khoan & KThác(B2)
20521929,XD,XD16B2D1,DHXDXC216,XC2,XD Dân dụng & CN(B2)
46204470,XD,XD11B201,DHXDXD211,XD2,Xây dựng (B2)
18995660,XD,XD11B202,DHXDXD211,XD2,Xây dựng (B2)
39643072,BD,BD14CN04,CDBDBDC14,BDC,Bảo dưỡng CN
34991320,BD,BD14CN04,CDBDBDC14,BDC,Bảo dưỡng CN
88984962,BD,BD14CN03,CDBDBDC14,BDC,Bảo dưỡng CN
74881584,BD,BD14CN02,CDBDBDC14,BDC,Bảo dưỡng CN
89624656,HC,HC14HC08,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
77848236,VL,VL1401,DHVLVL114,VL1,Kỹ Thuật Vật Liệu
77227223,HC,HC14HC02,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
90450008,DD,DD14LT13,DHDDDDT14,DDT,Điện - Điện tử
69758995,MO,MO1404,DHMOMTG14,MTG,Môi Trường
470957,CK,CK14CK01,DHCKCKI14,CKI,Cơ khí-Cơ điện tử
86884630,XD,XD14TD1,DHXDTDI14,TDI,KT Trắc địa - Bản đồ
46459378,XD,XD14BXD1,DHXDXDG14,XDG,Xây dựng
9578081,XD,XD14BXD1,DHXDXDG14,XDG,Xây dựng
2961142,HC,HC14HC07,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
14861597,QL,QL1403,DHQLQCN14,QCN,Quản Lý Công Nghiệp
96106714,CK,CK14CK10,DHCKCKI14,CKI,Cơ khí-Cơ điện tử
97368047,HC,HC14HC06,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
82588320,XD,XD14XD10,DHXDXDG14,XDG,Xây dựng
74325128,GT,GT1401,DHGTGTH14,GTH,Kỹ thuật Giao thông
88575745,HC,HC14HC09,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
38980582,DC,DC14DK,DHDCDDK14,DDK,Địa chất dầu khí
35764538,DD,DD14LT12,DHDDDDT14,DDT,Điện - Điện tử
35180066,HC,HC14HC07,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
67245216,HC,HC14HC05,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
47581900,HC,HC14HC03,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
87350916,HC,HC14HC03,DHHCHTS14,HTS,Hóa-ThựcPhẩm-SinhHọc
8249383,QL,QL1404,DHQLQCN14,QCN,Quản Lý Công Nghiệp
78900931,DD,DD15BK02,DHDDDDT15,DDT,Điện - Điện tử
48001411,DD,DD15LT02,DHDDDDT15,DDT,Điện - Điện tử
52518911,HC,HC15HC04,DHHCHTS15,HTS,Hóa-ThựcPhẩm-SinhHọc
22356877,CK,CK15CK03,DHCKCKI15,CKI,Cơ khí-Cơ điện tử
36454725,DD,DD15LT11,DHDDDDT15,DDT,Điện - Điện tử
7241048,DD,DD15LT05,DHDDDDT15,DDT,Điện - Điện tử
7769375,DD,DD15BK02,DHDDDDT15,DDT,Điện - Điện tử
62076093,DD,DD15LT15,DHDDDDT15,DDT,Điện - Điện tử
88097164,HC,HC15HC11,DHHCHTS15,HTS,Hóa-ThựcPhẩm-SinhHọc
46080049,DD,DD15LT08,DHDDDDT15,DDT,Điện - Điện tử
73994802,DD,DD15LT05,DHDDDDT15,DDT,Điện - Điện tử
28820822,DD,DD15BK01,DHDDDDT15,DDT,Điện - Điện tử
71773193,VP,VP2015/2,DHVPVPP15,VPP,KS CLC Việt Pháp
89867223,DD,DD15LT06,DHDDDDT15,DDT,Điện - Điện tử
24600803,HC,HC15HC02,DHHCHTS15,HTS,Hóa-ThựcPhẩm-SinhHọc
48861527,DD,DD15LT14,DHDDDDT15,DDT,Điện - Điện tử
94888898,DD,DD15LT12,DHDDDDT15,DDT,Điện - Điện tử
40325171,CK,CK15LTH,DHCKLTH15,LTH,Kỹ Thuật Chế Tạo(LT)
93084468,MT,MT1608,DHMTCTT16,CTT,MT&CôngNghệ ThôngTin
94390371,HC,HC16HC02,DHHCHTS16,HTS,Hóa-ThựcPhẩm-SinhHọc
44745653,DD,DD16BK01,DHDDDDT16,DDT,Điện - Điện tử
33796306,CK,CK16CK04,DHCKCKI16,CKI,Cơ khí-Cơ điện tử
